genes,3primcount,strand,ensembl_start,ensembl_end,refseq_term_left,refseq_term_right,ref_seq_overhang,,update_start,update_end,comments,,,
Ywhaz,6501,-,36770770,36796929,36770261,0,509,,36770261,,Refseq end,,,
Gm13201,6318,-,148071392,148075420,148057993,0,13399,,148057993,,Refseq end,,,
Syt10,6305,-,89782393,89841860,89773714,0,8679,,89773090,,Refseq end and Pool lab modified,,,
Lyrm2,6269,+,32800253,32801559,0,32802268,709,,,32802268,Refseq end,,,
Parp8,6181,-,116854820,117025537,116850842,0,3978,,116850842,,Refseq end,,,
Ppp2cb,6061,+,33599625,33619441,0,33619804,363,,,33619804,Refseq end,,,
Klf12,5983,-,99870632,100284679,99866181,0,4451,,99866181,,Refseq end,,,
Ggcx,5858,+,72414308,72430712,0,72431106,394,,,72431106,Refseq end,,,
Stxbp5l,5716,-,37114942,37384962,37107075,0,7867,,37107075,,Refseq end,,,
Elane,5714,+,79886247,79888215,0,79888216,1,,,79888850,Refseq end and Pool lab modified,,,
Atg2b,5713,-,105616136,105685211,105613539,0,2597,,105613539,,Refseq end,,,
Tenm3,5594,-,48227682,48843951,48225665,0,2017,,48225665,,Refseq end,,,
Nrcam,5332,+,44328885,44601964,0,44605194,3230,,,44605194,Refseq end,,,
Smarcal1,5272,+,72583251,72633134,0,72636790,3656,,,72636790,Refseq end,,,
Nkain1,5212,-,130531602,130574173,130530131,0,1471,,130529875,,Refseq end and Pool lab modified,,,
Smad9,5176,+,54755582,54801257,0,54801662,405,,,54801662,Refseq end,,,
Rbfox1,5061,+,5885355,7411526,0,7412480,954,,,7412480,Refseq end,,,
Faxc,4941,+,21931329,21996839,0,22001461,4622,,,22001461,Refseq end,,,
Gria2,4843,-,80681450,80802835,80682904,0,-1454,,80676450,,Splicing informed,,,
Kcna1,4781,-,126640397,126646384,126636463,0,3934,,126636463,,Refseq end,,,
Pias2,4766,+,77065208,77153800,0,77155710,1910,,,77155710,Refseq end,,,
Mta3,4736,+,83706163,83821516,0,83823715,2199,,,83823715,Refseq end,,,
Aff2,4731,+,69360294,69868037,0,69872054,4017,,,69872054,Refseq end,,,
Pde4d,4694,+,108449948,109953461,0,109955969,2508,,,109955969,Refseq end,,,
Btrc,4672,+,45363734,45530013,0,45533343,3330,,,45533343,Refseq end,,,
Akirin2,4642,+,34550937,34566908,0,34566965,57,,,34566965,Refseq end,,,
Dnajb1,4529,+,83608193,83612653,0,83612653,0,,,83613635,Pool lab modified,,,
Cox7a2,4518,-,79755361,79759878,79755241,0,120,,79748890,,Refseq end + splice informed,,,
Trpc5,4417,-,144381671,144688180,144377327,0,4344,,144377190,,Refseq end + Pool lab modified,,,
Mdga2,4378,-,66466060,67222549,66459419,0,6641,,66455000,,Refseq end + splice informed + Pool lab modified,,,
Klhl7,4345,+,24100605,24160792,0,24163365,2573,,,24163365,Refseq end,,,
Mmp16,4339,+,17852893,18119145,0,18123739,4594,,,18126155,Refseq end + Pool lab modified,,,
A230072C01Rik,4281,+,20961684,20986737,0,20987349,612,,,20987349,Refseq end,,,
Cep170,4195,-,176733653,176814067,176729072,0,4581,,176726920,,Refseq end + Pool lab modified,,,
Gm26871,4151,+,118430324,118530022,0,118539644,9622,,,118539644,Refseq end,,,
Lin7a,4125,+,107271686,107421474,0,107425146,3672,,,107426820,Refseq end + Pool lab modified,,,
Gm12279,3977,-,62550047,62551041,62545701,0,4346,,62545701,,Refseq end,,,
Plxdc2,3973,+,16356304,16755839,0,16761132,5293,,,16761132,Refseq end,,,
D130043K22Rik,3963,+,24845135,24901270,0,24901439,169,,,24901439,Refseq end,,,
Cyb5d1,3959,-,69391925,69395631,69390930,0,995,,69390650,,Refseq end + Pool lab modified,,,
B9d1,3869,+,61505144,61512931,0,61512929,-2,,,61515488,Splicing informed,,,
Pld3,3832,-,27532000,27553218,27531645,0,355,,27531645,,Refseq end,,,
Kcnh5,3820,-,74897220,75177332,74897217,0,3,,74887510,,Refseq end + splicing informed,,,
Clasp2,3800,+,113741473,113919682,0,113919697,15,,,113920475,Refseq end + splicing informed,,,
Arf6,3742,+,69372150,69373783,0,69375980,2197,,,69375980,Refseq end,,,
Jup,3640,-,100368958,100397763,100368856,0,102,,100368856,,Refseq end,,,
Zyg11b,3640,-,108229724,108301096,108227755,0,1969,,108227755,,Refseq end,,,
Ncam2,3618,+,81200697,81626828,0,81624290,-2538,,,81629300,Splicing informed,,,
Soga1,3615,-,157015799,157079254,157010441,0,5358,,157010441,,Refseq end,,,
Scrg1,3575,+,57455923,57477585,0,57479360,1775,,,57479650,Refseq end + Pool lab modified,,,
Nutf2,3566,+,105860580,105879330,0,105880402,1072,,,105880402,Refseq end,,,
Gm31323,3543,+,94488777,94522117,0,94523332,1215,,,94523332,Refseq end,,,
Cacng8,3535,+,3390683,3415648,0,3415605,-43,,,3416665,Pool lab modified,,,
Sap30l,3493,+,57801637,57810217,0,57810615,398,,,57810615,Refseq end,,,
Lonrf3,3469,+,36328353,36362341,0,36366857,4516,,,36366857,Refseq end,,,
Atxn10,3445,+,85336245,85463212,0,85463836,624,,,85463836,Refseq end,,,
Csnk1a1,3428,+,61555274,61590061,0,61590315,254,,,61590315,Refseq end,,,
Zfp146,3359,-,30161269,30169750,30160487,0,782,,30160487,,Refseq end,,,
Chrna7,3356,-,63098692,63212569,63098692,0,0,,63095225,,Pool lab modified (strong expression in Allen atlas),,,
Ensa,3301,+,95624993,95632102,0,95632117,15,,,95632117,Refseq end,,,
Efna5,3273,-,62604184,62881317,62602957,0,1227,,62602957,,Refseq end,,,
Slitrk5,3241,+,111675097,111683141,0,111683144,3,,,111684000,Pool lab modified,,,
Soga3,3181,+,29143839,29199630,0,29201298,1668,,,29201298,Refseq end,,,
Fam204a,3177,-,60198586,60226701,60197148,0,1438,,60197148,,Refseq end,,,
Mau2,3177,-,70016123,70042734,70016123,0,0,,70010400,,Pool lab modified,,,
Gabarapl2,3167,+,111940703,111953612,0,111952915,-697,,,111955495,Splice informed,,,
Ptchd1,3150,-,155573455,155623814,155569736,0,3719,,155569736,,Refseq end,,,
Wdr45b,3089,-,121327224,121354445,121327203,0,21,,121327203,,Refseq end,,,
1700061G19Rik,3056,+,56875477,56888904,0,56889855,951,,,56891153,Refseq end + Pool lab modified,,,
Dgki,3043,-,36846022,37300184,36837381,0,8641,,36837381,,Refseq end,,,
Taz,3034,+,74281912,74290151,0,74295319,5168,,,74295319,Refseq end,,,
AI606473,3027,+,154330821,154334254,0,154334687,433,,,154334687,Refseq end,,,
Aasdhppt,3012,-,4294793,4309471,4294793,0,0,,4285794,,Splicing informed,,,
Dynlt1b,2917,+,6430112,6436296,0,6436296,0,,,6438140,Splicing informed,,,
Srf,2915,-,46548329,46556175,46546838,0,1491,,46546838,,Refseq end,,,
Btbd1,2911,-,81792074,81829431,81792074,0,0,,81791810,,Pool lab modified,,,
Sp3os,2894,+,72979424,72988677,0,72989249,572,,,72989249,Refseq end,,,
Cadm1,2855,+,47530173,47857637,0,47862280,4643,,,47862280,Refseq end,,,
Tcf25,2836,+,123373753,123403835,0,123404174,339,,,123404174,Refseq end,,,
Rpl15,2819,-,18267823,18271391,18267823,0,0,,18266130,,Splicing informed,,,
P4ha1,2796,+,59323296,59373304,0,59373304,0,,,59374310,Pool lab modified,,,
Ick,2768,+,78109192,78172107,0,78172114,7,,,78172114,Refseq end,,,
Gm9925,2720,+,74065102,74065584,0,74068514,2930,,,74068514,Refseq end,,,
Orc3,2685,-,34570796,34614944,34566781,0,4015,,34566781,,Refseq end,,,
Ppp2r5e,2682,-,75450881,75596245,75449463,0,1418,,75449463,,Refseq end,,,
Cdh18,2667,+,22549022,23474418,0,23474432,14,,,23476290,Pool lab modified,,,
Cdh7,2655,+,109982431,110140157,0,110145272,5115,,,110145272,Refseq end,,,
Zfp207,2647,+,80383279,80405733,0,80408557,2824,,,80408557,Refseq end,,,
1700003M07Rik,2625,+,129960374,129963657,0,129965138,1481,,,129965138,Refseq end,,,
Dgkg,2620,-,22468461,22657221,22466568,0,1893,,22466568,,Refseq end,,,
Fundc1,2584,-,17556564,17572325,17519967,0,36597,,17519967,,"Refseq end, Pool lab verified",,,
Fbxl17,2571,-,63057452,63500017,63045949,0,11503,,63045949,,"Refseq end, Pool lab verified",,,
Smad2,2571,+,76241580,76310963,0,76311748,785,,,76311748,Refseq end,,,
Gm1043,2549,+,37085370,37229547,0,37234484,4937,,,37234484,Refseq end,,,
Nebl,2528,-,17343909,17731464,17343030,0,879,,17342660,,Refseq end + Pool lab modified,,,
Gjc3,2493,-,137953461,137963098,137950990,0,2471,,137950990,,Refseq end,,,
Ifnar1,2473,+,91485238,91507441,0,91510523,3082,,,91510523,Refseq end,,,
4933403O08Rik,2464,+,112239049,112243852,0,112249350,5498,,,112249350,Refseq end,,,
Pdzd8,2447,-,59297178,59345780,59296084,0,1094,,59296084,,Refseq end,,,
Pphln1,2437,+,93398350,93491510,0,93491913,403,,,93491913,Refseq end,,,
Rbm25,2428,+,83631236,83683123,0,83683127,4,,,83685055,Pool lab modified,,,
Adamts4,2424,+,171250421,171260637,0,171259922,-715,,,171262243,Pool lab modified,,,
Tle1,2423,-,72117142,72200919,72109945,0,7197,,72109945,,Refseq end,,,
Tmx4,2411,-,134594185,134644145,134594501,0,-316,,134592560,,Splice informed,,,
Os9,2392,-,127095650,127121131,127094259,0,1391,,127094259,,Refseq end,,,
Xpo6,2382,-,126101715,126200501,126101715,0,0,,126100070,,Pool lab modified,,,
Gm14325,2372,-,177831791,177840336,177828991,0,2800,,177828991,,Refseq end,,,
Ctdspl2,2363,+,121956001,122013642,0,122015326,1684,,,122015326,Refseq end,,,
Bdkrb1,2352,+,105603085,105605428,0,105605428,0,,,105605735,Pool lab modified,,,
Smad4,2345,-,73639009,73703780,73634858,0,4151,,73634858,,Refseq end,,,
Heatr9,2344,-,83511736,83522175,83511679,0,57,,83511679,,Refseq end,,,
Ankfn1,2336,-,89390223,89841266,89386933,0,3290,,89386933,,Refseq end,,,
Gtf2h5,2330,+,6079786,6086517,0,6085488,-1029,,,6087115,Splice informed,,,
Elavl1,2325,-,4285382,4325413,4284781,0,601,,4284781,,Refseq end,,,
Camk4,2308,+,32934931,33191228,0,33195767,4539,,,33195767,Refseq end,,,
Kdm3b,2291,+,34777047,34838660,0,34839370,710,,,34839370,Refseq end,,,
Kif3a,2284,+,53567379,53601967,0,53604248,2281,,,53604248,Refseq end,,,
Lancl3,2283,+,9199902,9268085,0,9268085,0,,,9270080,Pool lab modified,,,
Ppdpf,2272,+,181187247,181188771,0,181188506,-265,,,181190480,Splice informed (great example),,,
Pnrc2,2268,-,135870918,135873850,135870917,0,1,,135870440,,Pool lab modified,,,
St13,2262,-,81363669,81400077,81365044,0,-1375,,81361985,,Pool lab modified,,,
Mtmr2,2260,+,13748410,13806481,0,13808896,2415,,,13808896,Refseq end,,,
Celf6,2257,+,59577917,59607292,0,59609033,1741,,,59609033,Refseq end,,,
Jazf1,2231,-,52768797,53068631,52768065,0,732,,52768065,,Refseq end,,,
Dmrta2os,2211,-,109976738,109977813,109973179,0,3559,,109973179,,Refseq end,,,
Crebl2,2205,+,134830154,134858931,0,134862253,3322,,,134862253,Refseq end,,,
Pdk3,2195,-,93764607,93832201,93764616,0,-9,,93764410,,Pool lab modified,,,
Cntnap5c,2189,+,57769570,58410355,0,58412572,2217,,,58412572,Refseq end,,,
Cpsf6,2188,-,117344673,117380015,117344667,0,6,,117344667,,Refseq end,,,
Bnip3,2146,-,138890836,138909519,138890836,0,0,,138888961,,Splicing informed,,,
Sbspon,2145,-,15853862,15892722,15853862,0,0,,15849810,,Splicing informed,,,
Zc3h12c,2128,-,52111344,52168572,52109583,0,1761,,52109583,,Refseq end,,,
Ptchd4,2080,+,42315947,42505077,0,42507742,2665,,,42507742,Refseq end,,,
Olfml1,2072,+,107567446,107591094,0,107591365,271,,,107591365,Refseq end,,,
Zfp970,2059,+,177464733,177478129,0,177479194,1065,,,177479194,Refseq end,,,
Vash1,2054,+,86678700,86692091,0,86695688,3597,,,86695688,Refseq end,,,
Ift52,2028,+,163017354,163046141,0,163046155,14,,,163050210,Splicing informed,,,
Nkain3,2023,-,20118874,20778866,20111029,0,7845,,20111029,,Refseq end,,,
Zbtb46,2021,-,181387762,181459426,181371261,0,16501,,181371261,,"Refseq end, Pool lab verified",,,
Dyrk1b,2018,+,28179469,28187294,0,28197910,10616,,,28197910,"Refseq end, Pool lab verified",,,
E130102H24Rik,2008,-,101346531,101356735,101346524,0,7,,101346524,,Refseq end,,,
Abi2,2006,+,60409619,60481158,0,60481945,787,,,60481945,Refseq end,,,
H3f3b,1993,-,116021912,116027962,116021961,0,-49,,116018900,,Splicing informed,,,
Dlgap2,1975,+,14095865,14847680,0,14848626,946,,,14848626,Refseq end,,,
Gabrg1,1973,-,70751047,70842617,70751047,0,0,,70747590,,Pool lab modified,,,
Zscan25,1966,+,145280500,145291278,0,145291495,217,,,145292240,Pool lab modified,,,
Cetn2,1932,-,72913532,72918411,72913565,0,-33,,72913120,,Pool lab modified,,,
Me2,1923,-,73769903,73815449,73764956,0,4947,,73764956,,Refseq end,,,
Gm28703,1922,-,90825302,90828860,90824310,0,992,,90824310,,Refseq end,,,
Cdyl2,1919,-,116574400,116732991,116568723,0,5677,,116568723,,Refseq end,,,
Ctps2,1912,+,162901238,163032508,0,163034541,2033,,,163034541,Refseq end,,,
Ubtd2,1899,+,32455370,32516687,0,32518709,2022,,,32518709,Refseq end,,,
Trim23,1890,+,104178797,104203372,0,104203421,49,,,104204425,Pool lab modified,,,
Ogdh,1889,+,6291633,6356642,0,6359094,2452,,,6359094,Refseq end,,,
Plaa,1885,-,94567514,94603244,94565139,0,2375,,94565139,,Refseq end,,,
Hapln2,1883,-,88021750,88027583,88020558,0,1192,,88020558,,Refseq end,,,
Tmem63c,1872,+,87021340,87090043,0,87091824,1781,,,87091824,Refseq end,,,
Fundc2,1869,+,75382399,75396459,0,75397158,699,,,75397158,Refseq end,,,
Zbtb16,1847,-,48654297,48836222,48651797,0,2500,,48651797,,Refseq end,,,
Zfp609,1844,-,65692391,65827564,65691578,0,813,,65691578,,Refseq end,,,
Luc7l2,1840,+,38551334,38609470,0,38609953,483,,,38609953,Refseq end,,,
A230006K03Rik,1822,-,61127996,61311721,61010264,0,117732,,61010264,,Refseq end,,,
Gm15322,1819,+,111991466,111995486,0,112048263,52777,,,112048263,"Refseq end, although this creates a partial overlap with Gm15323",,,
Lingo2,1801,-,35706647,36951747,35696778,0,9869,,35696778,,Refseq end,,,
Heatr5b,1795,-,78752898,78835364,78752906,0,-8,,78744830,,"High expression in Allen, Pool lab modified",,,
Sstr1,1795,+,58211772,58214444,0,58216037,1593,,,58216037,Refseq end,,,
Gucy1a2,1793,+,3532778,3894736,0,3905791,11055,,,3905791,Refseq end,,,
Lrrc7,1790,-,158082891,158562221,158069460,0,13431,,158079850,,Pool lab modified Refseq end - tail end Ensembl reference has a new Rik gene,,,
Polr3k,1786,+,181864337,181870830,0,181870830,0,,,181872535,"Pool lab modified, based on splicing",,,
Peli1,1784,+,21091291,21150323,0,21150327,4,,,21151050,"Pool lab modified, continuous",,,
Nrg3,1783,-,38368952,39473088,38365102,0,3850,,38365102,,Refseq end,,,
Cbln2,1763,+,86711110,86718283,0,86718285,2,,,86721120,Refseq end + Pool lab modified (strong Allen atlas),,,
Ubb,1757,+,62551171,62553213,0,62553213,0,,,62553515,"Pool lab modified, continuous",,,
Zfp169,1747,-,48487647,48513451,48480763,0,6884,,48480763,,Refseq end,,,
Appl1,1741,-,26918988,26971232,26918986,0,2,,26917700,,"Pool lab modified, continuous",,,
Ube2b,1711,-,51985497,52000762,51985146,0,351,,51985146,,Refseq end,,,
9430021M05Rik,1701,+,162661163,162667109,0,162675204,8095,,,162675204,Refseq end,,,
Zfp790,1701,+,29816114,29831005,0,29832042,1037,,,29832042,Refseq end,,,
Uba6,1700,-,86109287,86172803,86110720,0,-1433,,86107720,,"Pool lab modified, continuous and splicing",,,
Rpl38,1697,+,114668524,114672331,0,114672331,0,,,114673130,"Pool lab modified, continuous",,,
Gprin3,1685,-,59347226,59426294,59344500,0,2726,,59344500,,Refseq end,,,
Grik2,1679,-,49094833,49788766,49094842,0,-9,,49093085,,"Pool lab modified, continuous",,,
Matn2,1676,+,34306677,34436273,0,34436242,-31,,,34437400,"Pool lab modified, continuous and splicing",,,
Optn,1633,-,5020642,5064051,5020519,0,123,,5020519,,Refseq end,,,
Mettl2,1628,+,105126425,105140394,0,105141146,752,,,105141146,Refseq end,,,
Timmdc1,1626,-,38498347,38522663,38497843,0,504,,38497843,,Refseq end,,,
9330182L06Rik,1623,+,9266118,9481825,0,9481827,2,,,9481827,Refseq end,,,
Ubac1,1618,-,25998543,26021747,25996958,0,1585,,25996958,,Refseq end,,,
Slc7a6os,1614,-,106200717,106210935,106200438,0,279,,106200438,,Refseq end,,,
Pycard,1613,-,127989708,127993867,127991373,0,-1665,,127989100,,"Pool lab modified, splicing informed",,,
Sec62,1612,+,30792875,30821263,0,30821263,0,,,30822170,"Pool lab modified, continuous",,,
Zfp382,1604,+,30121942,30134950,0,30140758,5808,,,30140758,Refseq end,,,
Tro,1602,-,150645304,150657583,150644710,0,594,,150644710,,Refseq end,,,
Lzic,1569,+,149485229,149496668,0,149496668,0,,,149504670,"Pool lab modified, splicing informed",,,
Gabrb1,1555,+,71658113,72149037,0,72149572,535,,,72149572,Refseq end,,,
Btaf1,1554,+,36926079,37012752,0,37014057,1305,,,37014057,Refseq end,,,
Brf1,1548,-,112960085,113000704,112955631,0,4454,,112955631,,Refseq end,,,
Med9,1547,+,59948206,59962205,0,59963306,1101,,,59963306,Refseq end,,,
4933421O10Rik,1544,-,33027142,33031323,33027139,0,3,,33023900,,"Pool lab modified, splicing informed",,,
Osbpl10,1541,+,114978569,115232225,0,115233273,1048,,,115233273,Refseq end,,,
Zmynd11,1537,-,9684833,9765330,9684836,0,-3,,9684600,,"Pool lab modified, continuous",,,
2610507I01Rik,1532,-,59199836,59202385,59197793,0,2043,,59197793,,Refseq end,,,
Phip,1523,-,82866159,82975516,82866159,0,0,,82865375,,"Pool lab modified, continuous",,,
Nova2,1520,+,18925888,18965319,0,18965319,0,,,18966560,"Pool lab modified, continuous",,,
Senp6,1516,+,80066903,80144953,0,80144782,-171,,,80145600,"Pool lab modified, continuous",,,
Gtf2h2,1514,-,100460218,100492579,100460218,0,0,,100459760,,"Pool lab modified, continuous",,,
Ttc39aos1,1494,-,109403794,109406155,109402279,0,1515,,109402279,,Refseq end,,,
Cby1,1492,+,79659199,79667660,0,79667662,2,,,79668055,"Pool lab modified, continuous",,,
Grm3,1485,-,9485541,9725170,9485236,0,305,,9485236,,Refseq end,,,
March5,1484,+,37207543,37222151,0,37224457,2306,,,37224457,Refseq end,,,
Gpr25,1481,-,136259797,136260873,136258914,0,883,,136258914,,Refseq end,,,
Zfp938,1478,-,82224850,82241280,82224566,0,284,,82224566,,Refseq end,,,
Morf4l1,1474,-,90091665,90114774,90091669,0,-4,,90087040,,"Pool lab modified, splicing informed",,,
1810013L24Rik,1468,+,8830100,8858922,0,8858924,2,,,8860950,"Pool lab modified, splicing informed",,,
Prlhr,1467,-,60466732,60468304,60465641,0,1091,,60463525,,Refseq end + Pool lab modified,,,
Rcn1,1459,-,105386291,105399319,105385948,0,343,,105385948,,Refseq end,,,
Dnm1l,1456,-,16312230,16358959,16312228,0,2,,16310800,,"Pool lab modified, continuous",,,
Adcy9,1454,-,4287529,4420498,4284886,0,2643,,4284886,,Refseq end,,,
Snrnp70,1450,-,45376453,45395742,45376454,0,-1,,45375525,,"Pool lab modified, splicing informed",,,
Erp44,1449,-,48193323,48279558,48193331,0,-8,,48190700,,"Pool lab modified, splicing informed",,,
Ipp,1448,+,116507549,116538243,0,116542563,4320,,,116542563,Refseq end,,,
Clns1a,1439,+,97696634,97720796,0,97720793,-3,,,97721410,"Pool lab modified, continuous",,,
Kdm5c,1439,+,152233020,152274535,0,152279102,4567,,,152279102,Refseq end,,,
Gdf11,1422,-,128882295,128891718,128884546,0,-2251,,128881940,,"Pool lab modified, nice example with Allen in situ validation",,,
Atm,1421,-,53439149,53536740,53437122,0,2027,,53437122,,Refseq end,,,
Rsph4a,1421,+,33905111,33916021,0,33916021,0,,,33916300,"Pool lab modified, continuous",,,
Bcl2l2,1413,+,54883377,54888234,0,54890858,2624,,,54890858,Refseq end,,,
Asb3,1412,+,30885416,31102704,0,31102704,0,,,31105290,"Pool lab modified, splicing informed",,,
Cntnap5b,1395,+,99772765,100485942,0,100490599,4657,,,100490599,Refseq end,,,
Gm31282,1394,+,8482119,8500343,0,8502882,2539,,,8502882,Refseq end,,,
Micu3,1391,+,40307458,40386308,0,40388782,2474,,,40388782,Refseq end,,,
Slc35e1,1389,-,72480641,72492614,72477995,0,2646,,72477995,,Refseq end,,,
Ndufs4,1380,-,114287795,114388258,114287795,0,0,,114283800,,"Pool lab modified, splicing informed",,,
Kdm4b,1378,+,56326062,56402870,0,56403769,899,,,56403769,Refseq end,,,
Nt5c1a,1377,+,123201504,123216275,0,123225339,9064,,,123225339,Refseq end,,,
Amph,1370,+,18948205,19150921,0,19154032,3111,,,19154032,Refseq end,,,
Asxl2,1368,+,3426857,3506852,0,3510811,3959,,,3510811,Refseq end,,,
Iws1,1363,+,32067741,32104328,0,32104331,3,,,32105042,"Pool lab modified, continuous",,,
Rab11fip4,1354,+,79591212,79698023,0,79698023,0,,,79698890,"Pool lab modified, splicing informed",,,
Slc24a4,1353,+,102128733,102267091,0,102267726,635,,,102267726,Refseq end,,,
Nrg1,1349,-,31814551,32884797,31809465,0,5086,,31809465,,Refseq end,,,
Uqcrfs1,1340,-,30540308,30545362,30540312,0,-4,,30539450,,"Pool lab modified, continuous",,,
Coprs,1331,-,13884794,13890281,13884787,0,7,,13884460,,"Pool lab modified, continuous",,,
Eif4e,1325,+,138526179,138559696,0,138559696,0,,,138560960,"Pool lab modified, continuous",,,
Rfx7,1324,+,72532240,72622937,0,72622949,12,,,72624604,"Pool lab modified, continuous",,,
Eid2b,1318,+,28277739,28279489,0,28280129,640,,,28280129,Refseq end,,,
Def8,1317,+,123423527,123463270,0,123463899,629,,,123463899,Refseq end,,,
Kpna1,1317,+,35978750,36037131,0,36037136,5,,,36039130,"Pool lab modified, continuous",,,
Cox16,1313,-,81359026,81485127,81358852,0,174,,81358852,,Refseq end,,,
Cdk7,1303,-,100702631,100730939,100697024,0,5607,,100697024,,Refseq end,,,
Tshz2,1297,+,169633013,170071816,0,170072751,935,,,170072751,Refseq end,,,
Mobp,1291,+,120149707,120181484,0,120181329,-155,,,120183150,"Pool lab modified, splicing informed",,,
Zfp932,1284,+,109996521,110010411,0,110012266,1855,,,110012266,Refseq end,,,
Ccdc190,1283,+,169928648,169934653,0,169935318,665,,,169935318,Refseq end,,,
Efcc1,1278,+,87730869,87755908,0,87762423,6515,,,87762423,Refseq end,,,
Pgpep1l,1268,-,68236610,68264233,68236450,0,160,,68236450,,Refseq end,,,
Sntg1,1247,-,8361475,9299878,8359739,0,1736,,8359739,,Refseq end,,,
Cntn5,1244,-,9660891,10904775,9634212,0,26679,,9634212,,"Refseq end, Pool lab verified",,,
Stoml1,1237,+,58253164,58262520,0,58262524,4,,,58262524,Refseq end,,,
Ywhaq,1234,-,21390071,21417637,21390329,0,-258,,21389770,,"Pool lab modified, continuous",,,
Zfp968,1232,+,175372436,175384201,0,175384754,553,,,175384754,Refseq end,,,
Ttc1,1228,-,43729512,43748008,43730006,0,-494,,43729240,,"Pool lab modified, continuous",,,
Pm20d2,1226,-,33174230,33189737,33170401,0,3829,,33170401,,Refseq end,,,
Usp7,1226,-,8689595,8792308,8688722,0,873,,8688722,,Refseq end,,,
Psen1,1224,+,83688152,83735199,0,83738446,3247,,,83738446,Refseq end,,,
March1,1222,+,65617900,66471637,0,66471637,0,,,66473040,"Pool lab modified, continuous",,,
Arid4a,1221,+,71015990,71098592,0,71099351,759,,,71099351,Refseq end,,,
Zfp442,1219,-,150407141,150451486,150402480,0,4661,,150402480,,Refseq end,,,
Akap5,1216,+,76324891,76334153,0,76334517,364,,,76334517,Refseq end,,,
Sat2,1216,+,69622024,69623870,0,69624032,162,,,69624032,Refseq end,,,
